OTU_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ConsensusLineage
OTU_102,11.0419022238314,4.5224086640384,0.868658217853802,5.20620028808561,1.92746603267999e-07,7.91743739577782e-06,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__Hypocreales sp
OTU_121,21.4775022358628,2.50371980478978,0.840032699459024,2.98050279042966,0.00287775616230311,0.019329915781782,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__Sordariomycetes sp
OTU_138,39.6122718435534,4.3766869682966,1.05722749181522,4.13977786444238,3.47642287330261e-05,0.000580128066982372,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Lophiostomataceae; g__Lophiostoma; s__Lophiostoma sp
OTU_154,2.28832185172965,2.11294167488451,0.715923795248398,2.95134997454779,0.00316388204128389,0.020603817195678,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__Sordariomycetes sp
OTU_28,478.329204267327,3.17401198743735,1.00503775668515,3.15810223678162,0.00158799855317657,0.0126565854835267,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium acutatum
OTU_281,6.30416413093014,2.87241788279413,0.816961760105045,3.51597592820599,0.000438140706759994,0.00508624211760515,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__unidentified; s__Pleosporaceae sp
OTU_301,22.5274072340872,3.82809518987715,0.973562890054027,3.93204715276762,8.42255394697174e-05,0.0012850410879094,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Diaporthales; f__unidentified; g__unidentified; s__Diaporthales sp
OTU_35,28.5993117011086,2.93632200385704,0.914071525054858,3.212354748367,0.00131651701695197,0.0108156936469593,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__Hypocreales sp
OTU_354,1.92381772652354,1.77037238050069,0.669307054801406,2.64508250406233,0.00816710011108196,0.0449611490651316,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__Hypocreales sp
OTU_60,7.53400772496831,2.96623939058064,0.822150246797274,3.60790427556979,0.000308680328300198,0.0040203730563977,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Boletales; f__Sclerodermataceae; g__Pisolithus; s__Pisolithus arhizus
OTU_704,6.11455055380801,2.43054490816102,0.778264020028262,3.12303388774514,0.00178997137138446,0.0135970564166167,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__Hypocreales sp
OTU_93,12.4494800087164,3.86294624028636,0.855835026757687,4.51365756192645,6.3719071019638e-06,0.000141774933018694,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes sp
